THUMB,INDEX,MIDDLE,RING,LITTLE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RESULT
152,238,5,6,32,0.37,8.05,-4.40,-0.00,-0.05,-0.04,B
153,238,6,4,32,0.36,8.01,-4.56,-0.02,-0.01,-0.02,B
152,238,5,5,30,0.17,8.14,-4.69,-0.02,-0.08,0.02,B
152,238,6,5,33,0.23,8.22,-4.52,-0.11,-0.20,0.06,B
151,238,4,6,30,0.38,8.09,-4.12,-0.09,-0.17,0.04,B
152,238,6,6,30,0.13,8.41,-4.27,-0.01,-0.08,0.09,B
151,239,5,5,31,0.12,8.26,-4.20,-0.05,-0.01,-0.04,B
152,238,4,6,30,0.17,8.37,-4.31,0.00,0.00,-0.02,B
153,239,6,6,31,0.14,8.52,-4.27,-0.11,-0.03,-0.03,B
152,238,4,6,29,0.01,8.55,-3.82,-0.17,0.01,-0.10,B
152,237,5,5,31,-0.14,8.53,-3.61,-0.11,0.02,-0.05,B
153,238,6,5,32,-0.20,8.57,-3.69,0.01,-0.01,-0.03,B
153,239,5,6,30,-0.08,8.59,-3.65,-0.03,0.05,-0.07,B
153,238,6,6,30,-0.25,8.44,-3.66,0.02,0.18,-0.06,B
152,238,4,5,30,-0.10,8.66,-3.92,0.07,0.20,-0.04,B
152,238,5,5,30,-0.40,8.42,-4.18,0.06,0.08,-0.02,B
153,239,6,5,31,-0.03,8.42,-4.02,0.00,0.06,-0.01,B
153,238,3,6,30,0.02,8.37,-4.00,-0.01,-0.01,0.02,B
153,238,5,5,32,-0.10,8.31,-4.18,0.01,-0.11,0.10,B
152,239,5,6,31,0.08,8.27,-4.17,0.06,-0.17,0.09,B
153,238,4,5,32,0.16,8.16,-4.52,0.11,-0.17,0.07,B
152,238,4,5,30,0.30,8.09,-4.60,0.13,-0.14,0.02,B
153,237,5,5,32,0.01,8.14,-4.75,-0.04,-0.03,0.07,B
153,239,5,4,31,0.00,8.13,-4.52,-0.02,-0.02,-0.01,B
